localKey,ms_record_file_location,ms_level_uri,unique_xpath,author_position_in_sequence,author_text_node,author_uri_current,author_uri_consolidated,msItem_xml-id,locus_start,title_text_node,rubric,incipit,explicit,finalRubric,status,asignee,syriaca_notes,wright_catalogue_location,wright_entry_roman_numeral,shelf_mark,parent_item,,,,,,,,,,,,,false positive
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[4]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[4]/author,1,Gregory Nazianzen,http://syriaca.org/person/511,http://syriaca.org/person/511,b11,44a,The fourth discourse,ܥܠ ܚܕܒܫܒܐ ܚܕܬܐ ܘܥܠ ܬܕܐܐ ܘܥܠ ܣܗܕܐ ܡܡܐ ܒܚܕܒܫܒܐ ܓܝܪ ܚܕܬܐ ܡܫܬ̇ܡܠܐ ܕܘܟܪܢܗ ܒܩܣܪܝܐ,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nazianzen. ""Discourses of Gregory Nazianzen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[5]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[5]/author,1,Gregory Nazianzen,http://syriaca.org/person/511,http://syriaca.org/person/511,b12,46a,The fifth discourse,ܕܥܠ ܦܢܛܩܘܣܛܐ ܘܥܠ ܪܘܚܐ ܩܕܝܫܐ,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nazianzen. ""Discourses of Gregory Nazianzen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[6]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[6]/author,1,Gregory Nazianzen,http://syriaca.org/person/511,http://syriaca.org/person/511,b13,50a,The sixth discourse,ܕܡܛܘܠ ܪܘܚܐ ܩܕܝܫܐ,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nazianzen. ""Discourses of Gregory Nazianzen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[7]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[7]/author,1,Gregory Nazianzen,http://syriaca.org/person/511,http://syriaca.org/person/511,b14,56a,The seventh discourse,ܡܐܡܪܐ ܩܕܡܝܐ ܕܡܛܠ ܒܪܐ,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nazianzen. ""Discourses of Gregory Nazianzen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[8]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/msItem[8]/author,1,Gregory Nazianzen,http://syriaca.org/person/511,http://syriaca.org/person/511,b15,60a,The eighth discourse,ܡܐܡܪܐ ܕܬܪ̈ܝܢ ܕܡܛܠ ܒܪܐ,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nazianzen. ""Discourses of Gregory Nazianzen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/210|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[3]/msItem[1]/author,/data/tei/210.xml,http://syriaca.org/manuscript/210,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[3]/msItem[1]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,d4,8a,Homily of Gregory Nyssen,,,,,ready to ingest,Alexys Ahn,,1:244-246,CCCVIII,Add MS 14516,"""The Nativity of our Lord"". Foll. 6a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/263|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[2]/author,/data/tei/263.xml,http://syriaca.org/manuscript/263,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[2]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,c15,1a,On the Song of Songs,,,,,ready to ingest,Alexys Ahn,,2:742-744,DCCLXXI,Add MS 14536,"""The authorities cited"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/263|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[10]/author,/data/tei/263.xml,http://syriaca.org/manuscript/263,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[10]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,,5a,,ܡܢ ܡܐܡܪܐ ܕܫܒ̈ܥܐ ܕܠܘܩܒܠ ܐܘܢܡ̇ܝܘܣ,,,,ready to ingest,Alexys Ahn,,2:742-744,DCCLXXI,Add MS 14536,"""The authorities cited"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/263|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[26]/author,/data/tei/263.xml,http://syriaca.org/manuscript/263,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[26]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,,14b,,ܡܢ ܡܐܡܪܐ ܡܪܬܝܢܐ,,,,ready to ingest,Alexys Ahn,,2:742-744,DCCLXXI,Add MS 14536,"""The authorities cited"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/263|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[36]/author,/data/tei/263.xml,http://syriaca.org/manuscript/263,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[36]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,,22a,On the Beatitudes,,,,,ready to ingest,Alexys Ahn,,2:742-744,DCCLXXI,Add MS 14536,"""The authorities cited"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/263|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[37]/author,/data/tei/263.xml,http://syriaca.org/manuscript/263,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[37]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,,22a,,ܡܢ ܡܐܡܪܐ ܡܪܬܝܢܐ,,,,ready to ingest,Alexys Ahn,,2:742-744,DCCLXXI,Add MS 14536,"""The authorities cited"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/263|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[39]/author,/data/tei/263.xml,http://syriaca.org/manuscript/263,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/msItem[39]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,,22b,On the Beatitudes,,,,,ready to ingest,Alexys Ahn,,2:742-744,DCCLXXI,Add MS 14536,"""The authorities cited"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/333|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/author,/data/tei/333.xml,http://syriaca.org/manuscript/333,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,a1,1a,Oratio catechetica magna,ܡܐܡܪܐ ܕܡܪܬܝܢܘܬܐ̣ ܕܩܕܝܫܐ ܓܪܝܓܪܝܘܣ ܐܦܣܩܦܐ ܕܢܘܣܐ,,,,ready to ingest,Alexys Ahn,,II:648-651,DCCXXX,Add MS 14597,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/350|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[24]/msItem[2]/author,/data/tei/350.xml,http://syriaca.org/manuscript/350,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[24]/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,h2,164b,From the discourse of Gregory Nyssen on virgins,ܕܥܠ ܒ̈ܬܘܠܬܐ,,,,ready to ingest,Alexys Ahn,,II:696-701,DCCLIII,Add MS 14612,"""On the consciousness of the soul after its separation from the body"". Foll. 164a-165a",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/357|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/author,/data/tei/357.xml,http://syriaca.org/manuscript/357,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/author,1,Gregory Nyssen,http://syriaca.org/person/511,http://syriaca.org/person/511,a3,25a,Homilies of Gregory Nyssen on the Lord's Prayer,,,,,ready to ingest,Alexys Ahn,,2:740-742,DCCLXX,Add MS 14617,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/357|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[1]/author,/data/tei/357.xml,http://syriaca.org/manuscript/357,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/511,http://syriaca.org/person/511,b2,25a,Hom. ii.,,,,,ready to ingest,Alexys Ahn,,2:740-742,DCCLXX,Add MS 14617,"Gregory Nyssen. ""Homilies of Gregory Nyssen on the Lord's Prayer"". Foll. 25a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/357|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[2]/author,/data/tei/357.xml,http://syriaca.org/manuscript/357,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/511,http://syriaca.org/person/511,b3,31b,"Hom., v.",,,,,ready to ingest,Alexys Ahn,,2:740-742,DCCLXX,Add MS 14617,"Gregory Nyssen. ""Homilies of Gregory Nyssen on the Lord's Prayer"". Foll. 25a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/358|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[13]/author,/data/tei/358.xml,http://syriaca.org/manuscript/358,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[13]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,a13,,Two treatises of Gregory Nyssen,,,,,ready to ingest,Alexys Ahn,,2:736-738,DCCLXVIII,Add MS 14618,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/358|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[13]/msItem[1]/author,/data/tei/358.xml,http://syriaca.org/manuscript/358,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[13]/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,b8,35a,To Ablabius,ܠܘܬ ܐܒܠܒܝܣ ܕܡܛܠ ܡܢܐ ܟܕ ܚܕܐ ܐܠܗܘܬܐ ܡܘܕܝܢܢ ܥܠ ܐܒܐ ܘܒܪܐ ܘܪܘܚܐ ܩܕܝܫܐ ܦܣܩܝܢܢ ܕܠܐ ܢܐܡܪ ܬ̈ܠܬܐ ܐ̈ܠܗܐ,,,,ready to ingest,Alexys Ahn,,2:736-738,DCCLXVIII,Add MS 14618,"Gregory Nyssen. ""Two treatises of Gregory Nyssen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/358|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[13]/msItem[2]/author,/data/tei/358.xml,http://syriaca.org/manuscript/358,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[13]/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,b9,40b,To Eustathius,ܠܘܬ ܐܘܣܛܬܝܣ ܡܐܡܪܐ ܡܛܠ ܬܠܝܬܝܘܬܐ ܩܕܝܫܬܐ ܘܣܓܝܕܬܐ,,,,ready to ingest,Alexys Ahn,,2:736-738,DCCLXVIII,Add MS 14618,"Gregory Nyssen. ""Two treatises of Gregory Nyssen"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/45|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[104]/author,/data/tei/45.xml,http://syriaca.org/manuscript/45,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[104]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,b104,350,"On the death of Meletius, bishop of Antioch , by Gregory Nyssen .",ܡܐܡܪܐ ܕܥܠ ܡ̇ܘܬܗ ܕܪܒܐ ܡܝܠܝܛܘܣ ܐܦܝܣܩܘܦܐ ܕܐܢܛܝܘܟܝܐ. ܬܪܓܡ̣ܗ ܕܝܢ ܛܘܒܢܐ ܓܪܝܓܘܪܝܣ ܐܦܝܣܩܘܦܐ ܕܢܘܣܐ̣. ܩܕܡ ܡܐܐ ܘܚܡܫܝܢ ܐܦ܏ܝܣܩ̈ܘ ܒܩܘܣܛܢܛܝܢܘܦܘܠܝܘܣ,,,,ready to ingest,Alexys Ahn,,2:842-851,DCCCXXV,Add MS 12165,"""Festal and other Discourses for the whole year, originally 113 in number, of which the first four are now lost."". Foll. 1a-354b",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/619|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/author,/data/tei/619.xml,http://syriaca.org/manuscript/619,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1a9,24b,Writings of Gregory Nyssen,,,,,ready to ingest,Alexys Ahn,,2:828-831,DCCCXV,"Add MS 14726, foll. 1-86",,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/619|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[1]/author,/data/tei/619.xml,http://syriaca.org/manuscript/619,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1b1,24b,"The treatise addressed to Ablabius , "" quod non sint tres Dii :""",ܕܩܕܝܫܐ ܓܪܝܓܘܪܝܘܣ ܕܢܘܣܐ̣. ܠܘܬ ܐܒܠܒܘܣ. ܡܐܡܪܐ̣. ܕܡܛܠ ܡܢܐ ܟܕ ܚܕܐ ܐܠܗܘܬܐ ܡ̇ܘܕܝܢܢ܇ ܥܠ ܐܒܐ ܘܒܪܐ ܘܪܘܚܐ ܩܕܝܫܐ܇ ܦܣ̇ܩܝܢܢ ܕܢܐܡܪ ܬܠܬܐ ܐ̈ܠܗܐ,,,,ready to ingest,Alexys Ahn,,2:828-831,DCCCXV,"Add MS 14726, foll. 1-86","Gregory Nyssen. ""Writings of Gregory Nyssen"". Foll. 24b-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/619|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[2]/author,/data/tei/619.xml,http://syriaca.org/manuscript/619,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1b2,30a,On Virginity,ܕܝܠܗ ܕܩܕܝܫܐ ܓܪܝܓܘܪܝܘܣ ܕܢܘܣܐ̣. ܡܐܡܪܐ̣. ܕܥܠ ܒܬܘܠܘܬܐ,,,,ready to ingest,Alexys Ahn,,2:828-831,DCCCXV,"Add MS 14726, foll. 1-86","Gregory Nyssen. ""Writings of Gregory Nyssen"". Foll. 24b-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/619|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[2]/msItem[1]/author,/data/tei/619.xml,http://syriaca.org/manuscript/619,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[2]/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1c1,,Introduction,ܡܡܠܠܐ ܕܩܕܡ ܡܐܡܪܐ,,,,ready to ingest,Alexys Ahn,,2:828-831,DCCCXV,"Add MS 14726, foll. 1-86","Gregory Nyssen. ""On Virginity"". Foll. 30a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/619|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[2]/msItem[2]/author,/data/tei/619.xml,http://syriaca.org/manuscript/619,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/msItem[2]/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1c2,,23 chapters,ܕܐܝܬ ܒܗ ܩ̈ܦܠܐܐ̣. ܥܣܪܝܢ ܘܬܠܬܐ,,,,ready to ingest,Alexys Ahn,,2:828-831,DCCCXV,"Add MS 14726, foll. 1-86","Gregory Nyssen. ""On Virginity"". Foll. 30a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/837|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[15]/author,/data/tei/837.xml,http://syriaca.org/manuscript/837,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[15]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1a15,128a,An extract from the first homily on the Beatitudes by Gregory Nyssen,ܬܘܒ ܕܩܕܝܫܐ ܒܣܠܝܘܣ ܡܢ ܡܐܡܪܐ ܩܕܡܝܐ ܕܦܘܫܩܐ ܕܛܘ̈ܒܐ ܗܠܝܢ ܕܒܐܘܢܓܠܝܘܢ,ܠܐ ܗܟܝܠ ܡܬܟܚܕ ܐܢܬ ܐܘ ܒܪܢܫܐ ܐܪܥܢܝܐ ܗ̇ܘ ܕܒܬܪ ܩܠܝܠ ܗܘ̇ܐ ܕܚܝܚܐ.,,,ready to ingest,Alexys Ahn,,2:819-823,DCCCXII,"Add MS 17183, upper text",,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/852|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[2]/author,/data/tei/852.xml,http://syriaca.org/manuscript/852,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1b2,1 5,"Fragments of the treatise of Gregory Nyssen on Virginity, divided into 23 chapters.",,,,ܫܠ̣ܡ ܡܐܡܪܐ ܕܩܕܝܫܐ ܓܪܝܓܪܝܘܣ ܐܦܝܣܩܘܦܐ ܕܢܘܣܐ܀ ܕܥܠ ܒܬܘܠܘܬܐ ܘܙܘܘܓܐ. ܕܐܝܬ ܒܗ̣̇ ܩ̈ܦܠܐܐ ܥܣܪ̈ܝܢ ܘܬ̈ܠܬܐ܀,ready to ingest,Alexys Ahn,,2:776-777,DCCLXXXVII,"Add. MS 17,196, upper text","""Selections from the Fathers"". Foll. 1-14",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/852|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[3]/author,/data/tei/852.xml,http://syriaca.org/manuscript/852,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[3]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p1b3,3,Part of the treatise of Gregory Nyssen on the Hexaemeron.,,,,,ready to ingest,Alexys Ahn,,2:776-777,DCCLXXXVII,"Add. MS 17,196, upper text","""Selections from the Fathers"". Foll. 1-14",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/874|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[5]/msContents/msItem[1]/author,/data/tei/874.xml,http://syriaca.org/manuscript/874,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[5]/msContents/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,p5a1,,Part of a discourse of Gregory Nyssen on S. Stephen the protomartyr,,,,,ready to ingest,Alexys Ahn,,14:32,DCCLXXVI,"Add MS 17213, foll. 8—10",,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/265|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[2]/author,/data/tei/drafts/265.xml,http://syriaca.org/manuscript/265,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[2]/author,1,Gregory Nyssen,,http://syriaca.org/person/512,b3,64b,on Baptism,ܣܘܟܠܐ ܕܡܢܘ ܪܐܙܐ ܕܒܡ̈ܝܐ ܥܡ̇ܕܝܢܢ. ܕܓܪܝܓܘܪܝܘܣ ܕܢܘܣܐ ܡܢ ܡܐܡܪܐ ܕܥܠ ܗܝܡܢܘܬܐ ܡܢ ܩܦܠܐܘܢ ܕ܏ܠܐ..,,,,ready to ingest,Alexys Ahn,,2:1003-1008,DCCCLXIII,Add MS 14538,"""Extracts of considerable length from several writers"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/313|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[3]/author,/data/tei/drafts/313.xml,http://syriaca.org/manuscript/313,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[3]/author,1,Gregory Nyssen,512,http://syriaca.org/person/512,b3,29a,Extract from the commentary of Gregory Nyssen on the Lord's Prayer,ܕܩܕܝܫܐ ܓܪܝܓܘܪܝܘܣ ܕܢܘܣܐ ܡ̣ܢ ܦܘܫܩܐ ܕܐܒܘܢ ܕܒܫܡܝܐ,ܐܢ ܨܠܘܬܐ ܬܗܘܐ ܩܪܝܒܐ ܠܢܦܫܐ̣. ܚܛܝ̣ܬܐ ܥܠ ܢܦܫܐ̣ ܠܐ ܡܫܟܚܐ ܡ̇ܥܠܬܐ,,,ready to ingest,Alexys Ahn,,2:784-788,DCCXCIII,Add MS 14577,"""Selections and extracts from various authors"". Foll. 2b-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[19]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[19]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,a19,,Two homilies of Gregory Nyssen on the Lord's Prayer,,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[19]/msItem[1]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[19]/msItem[1]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,b25,173a,Hom. i.,,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nyssen. ""Two homilies of Gregory Nyssen on the Lord's Prayer"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/337|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[19]/msItem[2]/author,/data/tei/drafts/337.xml,http://syriaca.org/manuscript/337,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[19]/msItem[2]/author,1,Gregory Nyssen,http://syriaca.org/person/512,http://syriaca.org/person/512,b26,177b,Hom. v.,,,,,ready to ingest,Alexys Ahn,,2:789-793,DCCXCV,Add MS 14601,"Gregory Nyssen. ""Two homilies of Gregory Nyssen on the Lord's Prayer"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/775|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author,/data/tei/775.xml,http://syriaca.org/manuscript/775,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author,1,Gregory of Nazianen,http://syriaca.org/person/511,http://syriaca.org/person/511,a1,1a,"Discourses of Gregory of Nazianen, in a translation different from that of the abbat Paul",,,,,ready to ingest,Alexys Ahn,,II:437-438,DLX.,Add MS 17146,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/1123|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author,/data/tei/1123.xml,http://syriaca.org/manuscript/1123,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author,1,Gregory of Nazianzus,http://syriaca.org/person/511,http://syriaca.org/person/511,a1,1,"The second part of the works of Gregory Nazianzen, comprising 12 discourses.",ܦܠܓܘܬܐ ܐܚܪܝܬܐ ܕܓܪܝܓܘܪܝܘܣ,,,,ready to ingest,Alexys Ahn,,II:436-437,DLIX,Add MS 18815,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/277|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[3]/author,/data/tei/277.xml,http://syriaca.org/manuscript/277,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[3]/author,1,Gregory of Nazianzus,http://syriaca.org/person/511,http://syriaca.org/person/511,b3,77b,Five discourses of Gregory Nazianzen,ܕܩܕܝܫܐ ܓܪܝܓܪܝܘܣ ܐܦܣܩܦܐ ܕܐܢܙܝܐܢܙܘ,,,,ready to ingest,Alexys Ahn,,II:718-719,DCCLVII,Add MS 14546,"""Select Discourses of several Fathers"". Foll. 1a-118",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/278|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/author,/data/tei/278.xml,http://syriaca.org/manuscript/278,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/author,1,Gregory of Nazianzus,http://syriaca.org/person/511,http://syriaca.org/person/511,b1,2b,"The first part of the works of Gregory Nazianzen, translated by the abbat Paul",,,,ܫܠ̣ܡܬ݁ ܦܠܓܘܬܐ ܩܕܡܝܬܐ ܕܩܕܝܫܐ ܓܪܝܓܘܪܝܘܣ ܬܐܘܠܘܓܘܣ܇ ܐܦܝܣܩܘܦܐ ܕܢܐܙܝܢܙܘ.,ready to ingest,Alexys Ahn,,II:431-434,DLVII,Add MS 14547,"""The first part of the works of Gregory Nazianzen, translated by the abbat Paul , with an appendix of extracts from other patristic authors"". Foll. 1-244",,,,,,,,,,,,,FALSE
